subject,detail,verification_status,official_check_url,browser_prompt,notes
Creditors' Voluntary Liquidation,"In a Creditors' Voluntary Liquidation (CVL), if the company lacks sufficient assets to cover the liquidation fees, directors may have to personally cover the shortfall.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): In a Creditors' Voluntary Liquidation (CVL), if the company lacks sufficient assets to cover the liquidation fees, directors may have to personally cover the shortfall.. Return the exact quote and the official URL.","verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Creditors' Voluntary Liquidation,"Creditors' Voluntary Liquidation (CVL) costs are typically split into pre-appointment (often a fixed fee) and post-appointment stages, with the latter regulated by the Insolvency (England and Wales) Rules 2016.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Creditors' Voluntary Liquidation (CVL) costs are typically split into pre-appointment (often a fixed fee) and post-appointment stages, with the latter regulated by the Insolvency (England and Wales) Rules 2016.. Return the exact quote and the official URL.",could not parse a structured verdict
Compulsory Liquidation,"If a private Insolvency Practitioner is appointed to take over from the Official Receiver in a compulsory liquidation, their additional fees typically range from £5,000 to £10,000.",not_found,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): If a private Insolvency Practitioner is appointed to take over from the Official Receiver in a compulsory liquidation, their additional fees typically range from £5,000 to £10,000.. Return the exact quote and the official URL.","Authoritative UK sources, including GOV.UK, The Insolvency Service, and the Insolvency (England and Wales) Rules 2016, detail the Official Receiver's fixed fees in compulsory liquidation (e.g., a £6,000 general fee that applies even if a case is passed to an Insolvency Practitioner). They also explain that the remuneration for a private Insolvency Practitioner (IP) appointed to take over from the Official Receiver is determined by the liquidation committee or creditors, and can be based on a percentage of assets, time spent, or a set amount. However, these authoritative sources do not provide a specific 'typical range' of £5,000 to £10,000 for the *additional fees* of a private IP when they take over from the Official Receiver."
Compulsory Liquidation,"Complex compulsory liquidation cases can take 18 months to 3 years, or even several years if there are disputes or missing records.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Complex compulsory liquidation cases can take 18 months to 3 years, or even several years if there are disputes or missing records.. Return the exact quote and the official URL.","verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Members' Voluntary Liquidation,Members' Voluntary Liquidation (MVL) is specifically governed by Section 89 of the Insolvency Act 1986.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Members' Voluntary Liquidation (MVL) is specifically governed by Section 89 of the Insolvency Act 1986.. Return the exact quote and the official URL.,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Members' Voluntary Liquidation,"In a Members' Voluntary Liquidation (MVL), the Declaration of Solvency must be made no more than five weeks before the resolution to wind up the company.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): In a Members' Voluntary Liquidation (MVL), the Declaration of Solvency must be made no more than five weeks before the resolution to wind up the company.. Return the exact quote and the official URL.","verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Members' Voluntary Liquidation,"The preparation phase for a Members' Voluntary Liquidation (MVL), including the Declaration of Solvency and appointment of an IP, typically takes 3-10 days, with the appointment often within 24-72 hours.",not_found,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The preparation phase for a Members' Voluntary Liquidation (MVL), including the Declaration of Solvency and appointment of an IP, typically takes 3-10 days, with the appointment often within 24-72 hours.. Return the exact quote and the official URL.","Authoritative UK sources, including GOV.UK guidance and the Insolvency Act 1986, confirm that for a Members' Voluntary Liquidation, the Declaration of Solvency must be made, and the resolution for winding up (including the appointment of a liquidator) must be passed, within a period not exceeding 5 weeks. However, these authoritative sources do not specify typical timelines for the 'preparation phase' of 3-10 days, nor do they state that the 'appointment often within 24-72 hours'. While the appointment of an Insolvency Practitioner occurs at the meeting where the winding-up resolution is passed, the precise durations for preparation and immediate appointment as claimed are not detailed in the authoritative guidance."
Members' Voluntary Liquidation,"In a Members' Voluntary Liquidation (MVL), shareholders often receive initial distributions within the first few months, sometimes within around 35 days.",not_found,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): In a Members' Voluntary Liquidation (MVL), shareholders often receive initial distributions within the first few months, sometimes within around 35 days.. Return the exact quote and the official URL.","Authoritative UK sources, including GOV.UK, the Insolvency Act 1986, the Insolvency (England and Wales) Rules 2016, and ICAEW guidance, outline the process for distributions in a Members' Voluntary Liquidation (MVL), including the requirement for liquidators to give notice to creditors to submit claims (a minimum of 21 days' notice is often required, as per ICAEW guidance, and Rule 14.28 of the Insolvency (England and Wales) Rules 2016 which mandates a Gazette notice of intended first distribution). While these sources confirm that distributions to members will occur after creditors are paid, and members desire distributions 'as soon as possible', they do not provide specific timeframes such as 'within the first few months' or 'sometimes within around 35 days' for initial distributions. Information regarding these specific timeframes was found on insolvency firm marketing pages, which are explicitly excluded as authoritative sources for the verdict."
Members' Voluntary Liquidation,"HMRC clearance can sometimes delay the final distribution in a Members' Voluntary Liquidation (MVL), taking anywhere from 6 weeks to 6 months.",contradicted,https://r3.org.uk/technical-library/england-wales/guidance/hmrc/hmrc-insolvency-guidance-members-voluntary-liquidation-updates/,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): HMRC clearance can sometimes delay the final distribution in a Members' Voluntary Liquidation (MVL), taking anywhere from 6 weeks to 6 months.. Return the exact quote and the official URL.","Effective from December 6, 2023, HMRC ceased providing tax clearance in Members' Voluntary Liquidations (MVLs). Therefore, the premise that 'HMRC clearance can sometimes delay the final distribution' by taking time to be issued is no longer applicable. Insolvency Practitioners are now expected to close cases without tax clearance, relying on their professional judgment to ensure all tax matters are resolved. While IPs must still allow reasonable time for HMRC to process returns and ensure all liabilities are settled, the specific delay caused by waiting for a formal HMRC clearance letter has been removed."
Members' Voluntary Liquidation,"The typical cost of a Members' Voluntary Liquidation (MVL) ranges from £995 to £4,000 plus VAT for straightforward cases, with complex MVLs costing upwards of £15,000.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The typical cost of a Members' Voluntary Liquidation (MVL) ranges from £995 to £4,000 plus VAT for straightforward cases, with complex MVLs costing upwards of £15,000.. Return the exact quote and the official URL.","verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
