source_url,target_url,reason
https://www.companydebt.com/liquidation/,/liquidation/voluntary-liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/,/liquidation/how-much-does-liquidation-cost/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/,/liquidation/alternatives-to-company-liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/,/liquidation/what-happens-to-directors-in-liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/compulsory-liquidation/,/liquidation/voluntary-vs-compulsory-liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/compulsory-liquidation/,/receivership-mean-business/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/members-voluntary-liquidation/,/liquidation/redundancy-payments-for-directors-in-an-mvl/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/members-voluntary-liquidation/,/liquidation/how-much-does-liquidation-cost/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/voluntary-liquidation/,/liquidation/compulsory-liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/company-strike-off-and-dissolution/,/liquidation/liquidation-vs-dissolution-strike-off/,no_natural_anchor_in_copy
https://www.companydebt.com/director-redundancy/,/liquidation/what-happens-to-employees/,no_natural_anchor_in_copy
https://www.companydebt.com/director-redundancy/,/liquidation/redundancy-payments-for-directors-in-an-mvl/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/timeline/,/liquidation/liquidation-deadlines-and-time-limits/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/timeline/,/liquidation/how-to-prepare-for-company-liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/liquidation-deadlines-and-time-limits/,/liquidation/how-to-prepare-for-company-liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/liquidation-deadlines-and-time-limits/,/liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/liquidation-deadlines-and-time-limits/,/liquidation/timeline/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/how-to-prepare-for-company-liquidation/,/liquidation/list-of-liquidation-documents/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/how-to-prepare-for-company-liquidation/,/liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/how-to-prepare-for-company-liquidation/,/liquidation/timeline/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/list-of-liquidation-documents/,/liquidation/creditor-meetings-in-liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/list-of-liquidation-documents/,/liquidation/how-to-prepare-for-company-liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/creditor-meetings-in-liquidation/,/liquidation/how-to-prove-your-debt-in-company-liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/creditor-meetings-in-liquidation/,/liquidation/liquidators-powers-and-duties/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/how-to-prove-your-debt-in-company-liquidation/,/liquidation/liquidators-powers-and-duties/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/how-to-prove-your-debt-in-company-liquidation/,/liquidation/which-creditors-get-paid-first/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/liquidators-powers-and-duties/,/liquidation/how-to-challenge-a-liquidators-decisions-or-fees/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/liquidators-powers-and-duties/,/liquidation/creditor-meetings-in-liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/how-to-challenge-a-liquidators-decisions-or-fees/,/liquidation/can-i-choose-my-liquidator/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/how-to-challenge-a-liquidators-decisions-or-fees/,/liquidation/liquidators-powers-and-duties/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/can-i-choose-my-liquidator/,/liquidation/how-to-choose-the-right-insolvency-procedure/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/can-i-choose-my-liquidator/,/liquidation/liquidators-powers-and-duties/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/can-i-choose-my-liquidator/,/liquidation/how-much-does-liquidation-cost/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/how-to-choose-the-right-insolvency-procedure/,/liquidation/timeline/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/how-to-choose-the-right-insolvency-procedure/,/liquidation/,no_natural_anchor_in_copy
https://www.companydebt.com/liquidation/how-to-choose-the-right-insolvency-procedure/,/liquidation/alternatives-to-company-liquidation/,no_natural_anchor_in_copy
